UTILITY	DESCRIPTION
bashpast.sh	local executable
copilot	local executable
env	local executable
env.fish	local executable
uv	local executable
uvx	local executable
yt-dlp	local executable
zb	local executable
zbx	local executable
zxcv	local executable
1pass	local executable
__pycache__	directory entry
acli	local executable
age	local executable
age-keygen	local executable
agg	local executable
aha	local executable
alertmanager	local executable
alt	local executable
amtool	local executable
ansi2txt	local executable
ansible	local executable
ansible-connection	local executable
ansible-playbook-reporter	local executable
ansible-reporter	local executable
ansible-shell	local executable
anthoscli	local executable
apg	local executable
Application.Mac.NDI.Recording	local executable
archive	local executable
archiver	local executable
argparse	local executable
arp-enumerate	local executable
arq_restore	local executable
asadmin	local executable
asciigraph	local executable
attic	local executable
autorestic	local executable
awesome-cli	local executable
awless	local executable
aws.cmd	local executable
aws_bash_completer	local executable
aws_zsh_completer.sh	local executable
backup	local executable
bafi	local executable
bak	local executable
bashful	local executable
bib	local executable
bins	local executable
bit	local executable
blackbox_exporter	local executable
borg	local executable
borgweb	local executable
bpdb	local executable
bpython	local executable
bpython-curses	local executable
bpython-urwid	local executable
bpytop	local executable
bq	local executable
bsw	local executable
bucket	local executable
bumpversion	local executable
bundle_image	local executable
caddy	local executable
calendar-cli	local executable
camdeploy	local executable
camget	local executable
camlistored	local executable
cammount	local executable
camput	local executable
camtool	local executable
cbb1	local executable
cbbDaemon	local executable
cbbWorker	local executable
cdk5-config	local executable
cfadmin	local executable
cfgtrack	local executable
cfgtrack_mail	local executable
cfl	local executable
chainsaw	local executable
change_tz	local executable
chardetect	local executable
charm	local executable
cheat	local executable
check-disk	local executable
check-file-size	local executable
check-http	local executable
check-ldap	local executable
check-load	local executable
check-log	local executable
check-mailq	local executable
check-ntpoffset	local executable
check-ping	local executable
check-procs	local executable
check-smtp	local executable
check-ssh	local executable
check-ssl	local executable
check-tcp	local executable
check-uptime	local executable
check_dns	local executable
cherryd	local executable
chip	local executable
chronyc	local executable
chronylogrotate.sh	local executable
cli-template	local executable
clinote	local executable
cliphist	local executable
clipper	local executable
clipse	local executable
cliquery	local executable
cmdr	local executable
cmdx	local executable
collectl2pcp	local executable
coloredlogs	local executable
commander	local executable
composer.phar	local executable
condor	local executable
condor_config	local executable
config-tracker	local executable
conjur	local executable
conn_gate	local executable
console	local executable
counterpart	local executable
coverage	local executable
coverage-2.7	local executable
coverage2	local executable
cpdf	local executable
cpuinfo	local executable
cq	local executable
cronolog	local executable
cs	local executable
csv2ods	local executable
csv2tsv	local executable
csv2xlsx	local executable
csvedit	local executable
csvt	local executable
csvtk	local executable
csvtotable	local executable
custom	directory entry
cwutil	local executable
cygdb	local executable
cymruwhois	local executable
cython	local executable
cythonize	local executable
dargs	local executable
dategrep	local executable
dater	local executable
dayone2	local executable
dbpmda	local executable
dbuck	local executable
dbxcli	local executable
devcam	local executable
dfc	local executable
dgoss	local executable
discordo	local executable
diskusage	local executable
distro	local executable
ditz	local executable
dkron	local executable
dm_date	local executable
dm_zdump	local executable
dnet-config	local executable
dns-purist	local executable
dnseval	local executable
dnsgit	local executable
dnslookup	local executable
dnsping	local executable
dnstraceroute	local executable
dnswalk	local executable
dnsyo	local executable
docker-compose	local executable
docker-credential-gcloud	local executable
docker-machine	local executable
dockutil	local executable
docopts	local executable
dog	local executable
doggo	local executable
dotenv	local executable
dotfile	local executable
drive-google	local executable
drive2	local executable
dsdownload	local executable
dsq	local executable
dstask	local executable
dstp	local executable
duf	local executable
duplicacy	local executable
duplicacy-util	local executable
duplone	local executable
dusage	local executable
dust	local executable
dwatch	local executable
dynamodb_dump	local executable
dynamodb_load	local executable
easy-menu	local executable
easy_install-2.7	local executable
echobible	local executable
ecobee-exporter	local executable
elbadmin	local executable
engage	local executable
env-secrets	local executable
epm	local executable
epminstall	local executable
erd	local executable
erubis	local executable
et	local executable
ethr	local executable
eton	local executable
etserver	local executable
etserver_6.1.8	local executable
etterminal	local executable
executor	local executable
ezflix	local executable
ezldap	local executable
ezmomi	local executable
f2py	local executable
f2py2.7	local executable
f2py3.5	local executable
fab	local executable
fab.sh	local executable
fab2	local executable
facter	local executable
fasd	local executable
fetch_file	local executable
fff	local executable
ffi-yajl-bench	local executable
fing	local executable
fing-uninstall.sh	local executable
fission	local executable
fits2bitmap	local executable
fitscheck	local executable
fitsdiff	local executable
fitsheader	local executable
fitsinfo	local executable
flashbake	local executable
flashbakeall	local executable
flask	local executable
flexget	local executable
flexget-headless	local executable
fog	local executable
fpart	local executable
fpm	local executable
fpsync	local executable
freeze	local executable
fs-snapshot	local executable
fsck-larch	local executable
fsq	local executable
futurize	local executable
g	local executable
ganglia2pcp	local executable
gcalcli.bak	local executable
gcsf	local executable
gdu	local executable
geeknote	local executable
genpass	local executable
genpmda	local executable
genreport	local executable
get_torrent	local executable
gh	local executable
gi	local executable
gibak	local executable
git-backup	local executable
git-confident	local executable
git-credential-gcloud.sh	local executable
git-credential-osxkeychain	local executable
git-file	local executable
gitfs	local executable
gitlab-runner	local executable
gitsome	local executable
gitsome.bat	local executable
gjo	local executable
glacier	local executable
glark	local executable
glauth	local executable
gmi	local executable
gmvault	local executable
gnsync	local executable
go-dategrep	local executable
go-replace	local executable
godu	local executable
golo	local executable
gomplate	local executable
gompress	local executable
goobook	local executable
gopass	local executable
gopass_new	local executable
gosendlog	local executable
gospider	local executable
goss	local executable
goss-alpha-darwin-amd64	local executable
goss-darwin-arm64	local executable
gossh	local executable
gotop	local executable
govc	local executable
goxeca	local executable
gr-64-osx	local executable
graph-easy	local executable
gsutil	local executable
gucci	local executable
guessit	local executable
gws	local executable
gwvault	local executable
HandBrakeCLI	local executable
hb	local executable
hb.bak	local executable
hdu	local executable
hello	local executable
hget	local executable
hishtory	local executable
hls-streamer	local executable
hocon	local executable
horenso	local executable
hostgrep	local executable
hostlist	local executable
hs9001	local executable
htm	local executable
htmd	local executable
html2text	local executable
htmldiff	local executable
htmlq	local executable
httparty	local executable
humanfriendly	local executable
ics_diff	local executable
iface	local executable
ig	local executable
ikhal	local executable
ilorest	local executable
inject.sh	local executable
instance_events	local executable
instantnews	local executable
instmodsh	local executable
inv	local executable
invoke	local executable
